title,seasons,genre,release_year.x,imdb_score,imdb_votes,runtime,release_year.y,outcome
Ganglands,1,Crime TV Shows,2021,7,2460,46,2021,Cancelled
Jailbirds New Orleans,1,Docuseries,2021,6.6,205,41,2021,Cancelled
Kota Factory,2,International TV Shows,2021,9.3,66985,42,2019,Renewed
Midnight Mass,1,TV Dramas,2021,7.7,102321,64,2021,Cancelled
The Great British Baking Show,9,British TV Shows,2021,8.6,9564,57,2010,Renewed
"Vendetta: Truth, Lies and The Mafia",1,Crime TV Shows,2021,6.7,232,39,2021,Cancelled
Bangkok Breaking,1,Crime TV Shows,2021,5.9,281,60,2021,Cancelled
Crime Stories: India Detectives,1,British TV Shows,2021,7.2,934,52,2021,Cancelled
Dear White People,4,TV Comedies,2021,6.1,24863,29,2017,Renewed
Falsa identidad,2,Crime TV Shows,2020,7,351,43,2018,Renewed
Jaguar,1,International TV Shows,2021,5.7,1718,43,2021,Cancelled
Monsters Inside: The 24 Faces of Billy Milligan,1,Crime TV Shows,2021,6.2,3038,61,2021,Cancelled
Resurrection: Ertugrul,5,International TV Shows,2018,7.9,35515,57,2014,Renewed
Love on the Spectrum,2,Docuseries,2021,8.6,5210,42,2019,Renewed
Chicago Party Aunt,1,TV Comedies,2021,5.3,1383,23,2021,Cancelled
Sex Education,3,British TV Shows,2020,8.3,251168,52,2019,Renewed
Squid Game,1,International TV Shows,2021,8,416738,54,2021,Cancelled
Chhota Bheem,3,Kids' TV,2021,4.1,822,22,2008,Renewed
He-Man and the Masters of the Universe,1,Kids' TV,2021,5.8,1618,26,2021,Cancelled
The Smart Money Woman,1,International TV Shows,2020,6.4,105,48,2020,Cancelled
Dharmakshetra,1,International TV Shows,2014,8.199999999999998,247,44,2014,Cancelled
Numberblocks,6,Kids' TV,2021,8.6,198,5,2017,Renewed
Saved by the Bell,9,Kids' TV,1994,7.1,34854,23,1989,Renewed
Stories by Rabindranath Tagore,1,International TV Shows,2015,8.8,1295,43,2015,Cancelled
Jack Whitehall: Travels with My Father,5,British TV Shows,2021,7.6,5388,46,2017,Renewed
The World's Most Amazing Vacation Rentals,2,Reality TV,2021,6.7,1278,35,2021,Renewed
Yowamushi Pedal,1,Anime Series,2013,7.7,808,24,2013,Cancelled
Lucifer,6,Crime TV Shows,2021,8.1,308291,47,2016,Renewed
Metal Shop Masters,1,Reality TV,2021,5.6,546,0,2021,Cancelled
Titipo Titipo,2,Kids' TV,2019,6.6,19,18,2018,Renewed
Mighty Raju,4,Kids' TV,2017,4.2,57,20,2010,Renewed
Into the Night,2,International TV Shows,2021,7.1,30746,36,2020,Renewed
The Circle,3,Reality TV,2021,7.3,6380,52,2020,Renewed
Kid Cosmic,2,Kids' TV,2021,7.9,1354,23,2021,Renewed
Octonauts: Above & Beyond,1,British TV Shows,2021,7.4,66,25,2021,Cancelled
On the Verge,1,TV Comedies,2021,6.5,2841,32,2021,Cancelled
Tobot Galaxy Detectives,2,Kids' TV,2019,7,13,13,2020,Renewed
Countdown: Inspiration4 Mission to Space,1,Docuseries,2021,7.9,1642,50,2021,Cancelled
Tayo the Little Bus,2,Kids' TV,2016,5.2,156,11,2010,Renewed
Dive Club,1,Kids' TV,2021,6.2,789,0,2021,Cancelled
Money Heist: From Tokyo to Berlin,1,Docuseries,2021,7.7,836,53,2021,Cancelled
Sharkdog,1,Kids' TV,2021,6.2,136,0,2021,Cancelled
Heroes of Goo Jit Zu,1,Kids' TV,2021,7.5,23,12,2019,Cancelled
Hotel Del Luna,1,International TV Shows,2019,8.199999999999998,7832,80,2019,Cancelled
Q-Force,1,Crime TV Shows,2021,6.4,4963,23,2021,Cancelled
Kuroko's Basketball,3,Anime Series,2015,8.3,8052,24,2012,Renewed
Major Dad,4,TV Comedies,1992,6.4,2866,24,1989,Renewed
Turning Point: 9/11 and the War on Terror,1,Docuseries,2021,8,8881,62,2021,Cancelled
Hometown Cha-Cha-Cha,1,International TV Shows,2021,8.5,9987,78,2021,Cancelled
The Ingenuity of the Househusband,1,International TV Shows,2021,6.7,396,6,2021,Cancelled
Bread Barbershop,2,Kids' TV,2020,7.3,125,11,2020,Renewed
I Heart Arlo,1,Kids' TV,2021,7,204,15,2021,Cancelled
Rebellion,2,International TV Shows,2016,7.1,3658,51,2016,Renewed
Titletown High,1,Reality TV,2021,5.4,318,34,2021,Cancelled
Family Reunion,4,Kids' TV,2021,6.4,2576,29,2019,Renewed
Clickbait,1,Crime TV Shows,2021,7.2,50140,46,2021,Cancelled
John of God: The Crimes of a Spiritual Healer,1,Crime TV Shows,2021,6.5,777,50,2021,Cancelled
Motel Makeover,1,International TV Shows,2021,4.8,688,30,2021,Cancelled
Open Your Eyes,1,International TV Shows,2021,6.5,1413,47,2021,Cancelled
Post Mortem: No One Dies in Skarnes,1,International TV Shows,2021,7.1,3229,45,2021,Cancelled
Wheel of Fortune,3,Reality TV,2019,6.7,3126,26,1983,Renewed
Manifest,3,TV Dramas,2021,7.1,50145,42,2018,Renewed
Everything Will Be Fine,1,International TV Shows,2021,6.2,335,32,2021,Cancelled
Korean Cold Noodle Rhapsody,1,Docuseries,2021,7.3,15,49,2021,Cancelled
The Chair,1,TV Comedies,2021,7.2,15894,30,2021,Cancelled
Go! Go! Cory Carson,5,Kids' TV,2021,7.9,238,9,2020,Renewed
The Defeated,1,Crime TV Shows,2020,7,5597,54,2020,Cancelled
Rascal Does Not Dream of Bunny Girl Senpai,1,Anime Series,2018,8.1,10400,25,2018,Cancelled
The Creative Indians,1,Docuseries,2020,8.3,45,28,2016,Cancelled
Winx Club,2,Kids' TV,2015,6.2,6700,23,2004,Renewed
Brand New Cherry Flavor,1,TV Dramas,2021,7.1,14449,43,2021,Cancelled
Fast & Furious Spy Racers,5,Kids' TV,2021,5.7,1444,26,2019,Renewed
Gone for Good,1,Crime TV Shows,2021,6.3,3863,49,2021,Cancelled
Grace and Frankie,7,TV Comedies,2021,8.199999999999998,48435,30,2015,Renewed
The Kingdom,1,Crime TV Shows,2021,6.5,1319,47,2021,Cancelled
Valeria,2,International TV Shows,2021,6.5,5510,41,2020,Renewed
AlRawabi School for Girls,1,International TV Shows,2021,7.4,5708,48,2021,Cancelled
Bake Squad,1,Reality TV,2021,6.9,651,38,2021,Cancelled
Gabby's Dollhouse,2,Kids' TV,2021,7.2,344,23,2021,Renewed
I Need Romance,1,International TV Shows,2021,7.8,24,45,2021,Cancelled
The Crowned Clown,1,International TV Shows,2019,8,880,75,2019,Cancelled
Hit & Run,1,TV Action & Adventure,2021,7.1,8367,49,2021,Cancelled
Navarasa,1,TV Shows,2021,5.9,3470,34,2021,Cancelled
Car Masters: Rust to Riches,3,Reality TV,2021,8.4,10024,39,2018,Renewed
Cocaine Cowboys: The Kings of Miami,1,Crime TV Shows,2021,7.1,2624,53,2021,Cancelled
Control Z,2,International TV Shows,2021,6.9,8235,36,2020,Renewed
Cooking With Paris,1,Reality TV,2021,5.2,1055,23,2021,Cancelled
Autumn's Concerto,1,International TV Shows,2009,7.9,475,58,2009,Cancelled
Office Girls,1,International TV Shows,2011,6.9,140,46,2011,Cancelled
The Prince Who Turns into a Frog,1,International TV Shows,2005,6.8,128,44,2005,Cancelled
Top Secret UFO Projects: Declassified,1,Docuseries,2021,5.5,1371,43,2021,Cancelled
Two Fathers,1,International TV Shows,2013,8,54,44,2013,Cancelled
30 Rock,7,TV Comedies,2012,8.3,121514,25,2006,Renewed
44 Cats,3,Kids' TV,2020,6.1,283,15,2018,Renewed
Friday Night Lights,5,TV Dramas,2010,8.699999999999998,64449,43,2006,Renewed
Charmed,3,TV Dramas,2021,4.5,16091,42,2018,Renewed
Centaurworld,1,Kids' TV,2021,7.6,1939,29,2021,Cancelled
Khawatir,1,International TV Shows,2009,9.6,3046,20,2005,Cancelled
Outer Banks,2,TV Action & Adventure,2021,7.5,43404,49,2020,Renewed
Tattoo Redo,1,Reality TV,2021,5.8,680,30,2021,Cancelled
The Flash,7,Crime TV Shows,2021,7.6,336888,42,2014,Renewed
The Snitch Cartel: Origins,1,Crime TV Shows,2021,5.6,182,48,2021,Cancelled
All American,3,TV Dramas,2021,7.6,9704,42,2018,Renewed
How to Sell Drugs Online (Fast),3,Crime TV Shows,2021,7.9,30734,32,2019,Renewed
The Walking Dead,10,Classic & Cult TV,2019,8.199999999999998,945125,46,2010,Renewed
Wynonna Earp,4,International TV Shows,2020,7.3,22256,43,2016,Renewed
Feels Like Ishq,1,International TV Shows,2021,6.4,1514,42,2021,Cancelled
Masters of the Universe: Revelation,1,TV Action & Adventure,2021,5.2,26127,26,2021,Cancelled
Sky Rojo,2,International TV Shows,2021,6.5,8569,27,2021,Renewed
The Movies That Made Us,2,Docuseries,2021,7.6,6147,47,2019,Renewed
Chicago Med,5,TV Dramas,2019,7.6,24142,41,2015,Renewed
Sexy Beasts,1,British TV Shows,2021,4.6,1105,23,2021,Cancelled
Too Hot to Handle: Brazil,1,International TV Shows,2021,5.4,443,56,2021,Cancelled
Okupas,1,Classic & Cult TV,2020,9,2326,40,2000,Cancelled
Touch Your Heart,1,Crime TV Shows,2019,7.7,3046,63,2019,Cancelled
Explained,3,Docuseries,2021,8,8831,21,2018,Renewed
Johnny Test,1,Kids' TV,2021,5.1,8172,18,2005,Cancelled
Naomi Osaka,1,Docuseries,2021,6.2,1287,37,2021,Cancelled
BEASTARS,2,Anime Series,2021,7.7,9440,23,2019,Renewed
Her Private Life,1,International TV Shows,2019,7.7,3665,74,2019,Cancelled
Never Have I Ever,2,TV Comedies,2021,7.8,45346,28,2020,Renewed
Heist,1,Crime TV Shows,2021,6.8,1698,43,2021,Cancelled
My Unorthodox Life,1,Reality TV,2021,5.5,1170,40,2021,Cancelled
Ridley Jones,1,Kids' TV,2021,4.7,223,28,2021,Cancelled
Atypical,4,TV Comedies,2021,8.3,81643,31,2017,Renewed
Biohackers,2,International TV Shows,2021,6.8,9346,42,2020,Renewed
How to Become a Tyrant,1,Docuseries,2021,7.4,8041,27,2021,Cancelled
The Cook of Castamar,1,International TV Shows,2021,7.4,3637,54,2021,Cancelled
Virgin River,3,Romantic TV Shows,2021,7.4,34797,44,2019,Renewed
Elize Matsunaga: Once Upon a Crime,1,Crime TV Shows,2021,5.9,2088,49,2021,Cancelled
Cat People,1,Docuseries,2021,6.3,266,32,2021,Cancelled
Dogs,2,Docuseries,2021,8,1269,50,2018,Renewed
The Mire,2,Crime TV Shows,2021,7,4312,51,2018,Renewed
The War Next-door,1,International TV Shows,2021,5.6,373,32,2021,Cancelled
Between,2,International TV Shows,2016,6,9059,25,2015,Renewed
Chelsea,2,Stand-Up Comedy & Talk Shows,2017,6.1,2051,57,2016,Renewed
Code Lyoko,4,Kids' TV,2007,7.3,5109,24,2003,Renewed
Cuckoo,5,British TV Shows,2019,5.9,20,27,2012,Renewed
Derry Girls,2,British TV Shows,2019,8.4,28718,25,2018,Renewed
Girl from Nowhere,2,International TV Shows,2021,7.6,3979,44,2018,Renewed
Good Morning Call,2,International TV Shows,2017,7.7,3088,48,2016,Renewed
I Think You Should Leave with Tim Robinson,2,TV Comedies,2021,7.9,11411,16,2019,Renewed
Kim's Convenience,5,International TV Shows,2021,8.3,16970,22,2016,Renewed
Larva,3,Kids' TV,2015,7.1,582,2,2011,Renewed
Marcella,3,British TV Shows,2019,7.4,30373,45,2016,Renewed
Midnight Diner: Tokyo Stories,2,International TV Shows,2019,8.4,4109,28,2016,Renewed
My Little Pony: Friendship Is Magic,8,Kids' TV,2018,7.6,20708,22,2010,Renewed
Orange Is the New Black,7,TV Comedies,2019,8.1,295591,59,2013,Renewed
Puffin Rock,2,Kids' TV,2016,8.699999999999998,891,11,2015,Renewed
Richie Rich,2,Kids' TV,2015,3.1,1041,22,2015,Renewed
Shtisel,3,International TV Shows,2021,8.6,6958,48,2013,Renewed
Some Assembly Required,2,Kids' TV,2015,8.5,22,25,2014,Renewed
Tales by Light,3,Docuseries,2018,8.3,1905,27,2015,Renewed
Terrace House: Opening New Doors,6,International TV Shows,2018,7.8,952,40,2017,Renewed
The A List,2,British TV Shows,2021,5.5,2787,27,2018,Renewed
The New Legends of Monkey,2,Kids' TV,2020,6.4,4308,25,2018,Renewed
The Worst Witch,4,British TV Shows,2020,7.2,2375,27,2017,Renewed
Undercover,2,Crime TV Shows,2020,7.8,16773,49,2019,Renewed
Workin' Moms,5,International TV Shows,2021,7.8,14892,22,2017,Renewed
YooHoo to the Rescue,3,Kids' TV,2020,6.8,53,13,2019,Renewed
You Are My Spring,1,International TV Shows,2021,7.5,532,69,2021,Cancelled
We the People,1,Kids' TV,2021,3.4,674,5,2021,Cancelled
Grey's Anatomy,17,Romantic TV Shows,2020,7.6,293618,49,2005,Renewed
Big Timber,1,International TV Shows,2020,6.5,577,45,2020,Cancelled
Mortel,2,Crime TV Shows,2019,6.5,1390,52,2019,Renewed
Rainbow Rangers,1,Kids' TV,2018,5.8,187,22,2018,Cancelled
Sailor Moon Crystal,3,Anime Series,2016,7.8,2115,24,2014,Renewed
Young Royals,1,International TV Shows,2021,8.3,26732,45,2021,Cancelled
Droppin' Cash: Los Angeles,1,Reality TV,2019,3.4,116,23,2018,Cancelled
Somos.,1,Crime TV Shows,2021,7.1,1108,47,2021,Cancelled
Sophie: A Murder in West Cork,1,British TV Shows,2021,6.8,5093,55,2021,Cancelled
The Daily Life of the Immortal King,1,Anime Series,2020,7.2,1211,19,2020,Cancelled
The Seven Deadly Sins,5,Anime Series,2021,7.9,30341,24,2014,Renewed
Ray,1,International TV Shows,2021,7.2,8668,59,2021,Cancelled
Sex/Life,1,Romantic TV Shows,2021,5.4,19604,48,2021,Cancelled
Godzilla Singular Point,1,Anime Series,2021,6.5,1612,24,2021,Cancelled
Jiva!,1,International TV Shows,2021,5.5,263,38,2021,Cancelled
The Naked Director,2,International TV Shows,2021,7.7,6052,51,2019,Renewed
The Parisian Agency: Exclusive Properties,1,International TV Shows,2021,7.4,593,54,2021,Cancelled
Too Hot to Handle,2,Reality TV,2021,4.6,12001,42,2020,Renewed
This Is Pop,1,Docuseries,2021,6.9,1076,44,2021,Cancelled
The Mole,2,Reality TV,2001,7.6,1104,52,2001,Renewed
"Nevertheless,",1,International TV Shows,2021,7.2,4485,69,2021,Cancelled
Black Lightning,4,TV Action & Adventure,2021,6.1,24646,42,2018,Renewed
Call My Agent!,4,International TV Shows,2018,8.3,13331,55,2015,Renewed
Champions,1,TV Comedies,2018,6.1,3736,21,2018,Cancelled
Cleo & Cuquin,2,Kids' TV,2020,8,98,7,2018,Renewed
Deadwind,2,Crime TV Shows,2020,7.3,8762,46,2018,Renewed
Hap and Leonard,3,Crime TV Shows,2018,7.6,7577,42,2016,Renewed
Locked Up,5,Crime TV Shows,2020,8.199999999999998,21388,50,2015,Renewed
REA(L)OVE,1,International TV Shows,2018,6.6,210,45,2018,Cancelled
Riverdale,4,Crime TV Shows,2019,6.7,139154,42,2017,Renewed
Schitt's Creek,6,TV Comedies,2020,8.5,112537,22,2015,Renewed
The Judgement,1,Crime TV Shows,2018,7.1,95,48,2018,Cancelled
The Last Dance,1,Docuseries,2020,9.1,108321,50,2020,Cancelled
They've Gotta Have Us,1,British TV Shows,2018,7.7,292,59,2018,Cancelled
Elite,4,Crime TV Shows,2021,7.4,73062,48,2018,Renewed
Hospital Playlist,2,International TV Shows,2021,8.8,4836,90,2020,Renewed
The Rational Life,1,International TV Shows,2021,8.1,445,45,2021,Cancelled
Black Summer,2,TV Action & Adventure,2021,6.5,28657,39,2019,Renewed
Elite Short Stories: Carla Samuel,1,International TV Shows,2021,6.9,2609,14,2021,Cancelled
Katla,1,International TV Shows,2021,7,13095,46,2021,Cancelled
Record of Ragnarok,1,Anime Series,2021,6.2,4647,24,2021,Cancelled
The Gift,3,International TV Shows,2021,7,21582,45,2019,Renewed
Elite Short Stories: Omar Ander Alexis,1,International TV Shows,2021,7.3,1903,12,2021,Cancelled
Let's Eat,1,International TV Shows,2021,8.199999999999998,5,60,2021,Cancelled
Penguin Town,1,Docuseries,2021,7.9,824,30,2021,Cancelled
Beyond Evil,1,Crime TV Shows,2021,8.1,2776,66,2021,Cancelled
Power Rangers Dino Fury,1,Kids' TV,2021,7,479,21,2021,Cancelled
Rhyme Time Town,2,Kids' TV,2021,7.5,78,23,2020,Renewed
The American Bible Challenge,1,Reality TV,2014,6.4,125,43,2012,Cancelled
Love (ft. Marriage and Divorce),2,International TV Shows,2021,6.6,433,69,2021,Renewed
LEGO Friends: The Power of Friendship,2,Kids' TV,2016,6.5,49,23,2016,Renewed
Lupin,2,Crime TV Shows,2021,7.5,100575,46,2021,Renewed
Trese,1,Anime Series,2021,7,3701,29,2021,Cancelled
"Fresh, Fried & Crispy",1,Reality TV,2021,6.2,603,25,2021,Cancelled
Feel Good,2,Romantic TV Shows,2021,7.5,10317,25,2020,Renewed
Human: The World Within,1,Docuseries,2021,6.8,697,52,2021,Cancelled
Sweet Tooth,1,TV Action & Adventure,2021,7.8,49182,45,2021,Cancelled
Creator's File: GOLD,1,International TV Shows,2021,6.6,23,25,2021,Cancelled
Summertime,2,International TV Shows,2021,6,2573,43,2020,Renewed
Attack on Titan,1,Anime Series,2013,9,325381,24,2013,Cancelled
Ben & Holly's Little Kingdom,2,Kids' TV,2019,7.5,1222,14,2009,Renewed
Cocomelon,3,Kids' TV,2021,4.9,522,8,2019,Renewed
Downton Abbey,6,British TV Shows,2015,8.699999999999998,197744,58,2010,Renewed
Happy Endings,3,TV Comedies,2012,7.8,37778,21,2011,Renewed
Ouran High School Host Club,1,Anime Series,2006,8.199999999999998,9763,23,2006,Cancelled
Racket Boys,1,International TV Shows,2021,1.8,27484,70,2021,Cancelled
The Platform,3,International TV Shows,2021,6.2,7,45,2018,Renewed
Dirty John,2,Crime TV Shows,2020,7.3,20817,44,2018,Renewed
The Kominsky Method,3,TV Comedies,2021,8.199999999999998,38232,26,2018,Renewed
The Least Expected Day: Inside the Movistar Team 2019,2,Docuseries,2021,7.4,756,31,2020,Renewed
Black Space,1,Crime TV Shows,2021,6.7,1758,46,2020,Cancelled
Eden,1,Anime Series,2021,6.6,1111,25,2021,Cancelled
Ragnarok,2,International TV Shows,2021,7.5,36185,47,2020,Renewed
Mad for Each Other,1,International TV Shows,2021,7.9,1518,35,2021,Cancelled
Master of None,3,TV Comedies,2021,8.3,72341,32,2015,Renewed
The Neighbor,2,International TV Shows,2021,6.5,2125,30,2019,Renewed
Special,2,TV Comedies,2021,7.6,9202,26,2019,Renewed
The Magic School Bus,1,Kids' TV,1997,7.8,9708,26,1994,Cancelled
Who Killed Sara?,2,Crime TV Shows,2021,6.4,12148,41,2021,Renewed
Booba: Food Puzzle,1,Kids' TV,2021,8.3,30,3,2020,Cancelled
Halston,1,TV Dramas,2021,7.5,14040,47,2021,Cancelled
Haunted,3,Reality TV,2021,4.6,3150,25,2018,Renewed
"Love, Death & Robots",2,TV Action & Adventure,2021,8.4,131937,13,2019,Renewed
Move to Heaven,1,International TV Shows,2021,8.6,5307,52,2021,Cancelled
Castlevania,4,Anime Series,2021,8.3,61114,26,2017,Renewed
The Upshaws,1,TV Comedies,2021,6.8,2296,30,2021,Cancelled
"Money, Explained",1,Docuseries,2021,6.9,2143,23,2021,Cancelled
Mine,1,International TV Shows,2021,7.8,1101,69,2021,Cancelled
Jupiter's Legacy,1,TV Action & Adventure,2021,6.7,37235,45,2021,Cancelled
Lava Ka Dhaava,1,Reality TV,2021,6,41,30,2021,Cancelled
Selena: The Series,2,TV Dramas,2020,6.9,4435,38,2020,Renewed
Pet Stars,1,Reality TV,2021,4.9,117,27,2021,Cancelled
The Innocent,1,Crime TV Shows,2021,7.8,29019,58,2021,Cancelled
The Unremarkable Juanquini,2,International TV Shows,2021,4.3,189,30,2020,Renewed
Yasuke,1,Anime Series,2021,6.2,4999,29,2021,Cancelled
Headspace Guide to Sleep,1,Docuseries,2021,6.8,445,19,2021,Cancelled
Sexify,1,International TV Shows,2021,6.5,4907,44,2021,Cancelled
Fatma,1,International TV Shows,2021,7.4,8185,42,2021,Cancelled
Let's Fight Ghost,1,International TV Shows,2021,7.5,98,65,2021,Cancelled
Shadow and Bone,1,TV Action & Adventure,2021,7.6,77782,52,2021,Cancelled
Zero,1,International TV Shows,2021,5.6,1270,24,2021,Cancelled
PJ Masks,3,Kids' TV,2019,5.4,1214,15,2015,Renewed
Gilmore Girls,7,Romantic TV Shows,2006,8.199999999999998,119054,46,2000,Renewed
High-Rise Invasion,1,Anime Series,2021,6.6,2575,25,2021,Cancelled
Next in Fashion,1,Reality TV,2020,7.3,3572,51,2020,Cancelled
Power Players,3,Kids' TV,2020,5.9,84,11,2019,Renewed
Ricky Zoom,1,British TV Shows,2019,6.3,90,12,2019,Cancelled
Sonic X,2,Anime Series,2003,6.1,4577,21,2003,Renewed
Dad Stop Embarrassing Me!,1,TV Comedies,2021,4.1,1853,25,2021,Cancelled
Fate: The Winx Saga,1,British TV Shows,2021,6.8,37995,50,2021,Cancelled
House of Cards,6,TV Dramas,2018,8.699999999999998,494092,52,2013,Renewed
Indian Matchmaking,1,Reality TV,2020,6.2,3049,35,2020,Cancelled
Jeffrey Epstein: Filthy Rich,1,Crime TV Shows,2020,7.1,23216,57,2020,Cancelled
Law School,1,Crime TV Shows,2021,8.1,2024,60,2021,Cancelled
Living with Yourself,1,TV Comedies,2019,7.2,30134,26,2019,Cancelled
Signal,1,Crime TV Shows,2016,8.6,6338,71,2016,Cancelled
Slasher,3,TV Horror,2019,6.7,14071,46,2016,Renewed
The Underclass,1,International TV Shows,2020,6.4,62,55,2020,Cancelled
Unnatural Selection,1,Docuseries,2019,8.1,12,35,2015,Cancelled
