title,seasons,genre,release_year.x,imdb_score,imdb_votes,runtime,release_year.y,outcome
Daybreak,1,TV Action & Adventure,2019,6.7,19398,44,2019,Cancelled
"Breakfast, Lunch & Dinner",1,Docuseries,2019,6.7,1045,44,2019,Cancelled
Interior Design Masters,1,British TV Shows,2019,6.4,1356,57,2019,Cancelled
Mighty Little Bheem: Diwali,1,Kids' TV,2019,7.7,35,24,2019,Cancelled
Toon,2,International TV Shows,2017,7.6,890,27,2016,Renewed
Chosen,2,Crime TV Shows,2019,5.2,127,70,2018,Renewed
Chosen,2,Crime TV Shows,2019,4.3,1111,44,2022,Renewed
Another Miss Oh,1,International TV Shows,2016,7.9,1769,69,2016,Cancelled
Black Money Love,1,Crime TV Shows,2014,7.4,5975,90,2014,Cancelled
The Lies Within,1,Crime TV Shows,2019,7,365,60,2019,Cancelled
Insatiable,2,TV Comedies,2019,6.5,27275,46,2018,Renewed
The Hook Up Plan,2,International TV Shows,2020,7.2,5212,28,2018,Renewed
Ultramarine Magmell,1,Anime Series,2019,6,610,24,2019,Cancelled
Rhythm + Flow,1,Reality TV,2019,7.6,1541,57,2019,Cancelled
Legend Quest: Masters of Myth,1,Kids' TV,2019,7.6,126,25,2019,Cancelled
Creeped Out,2,British TV Shows,2019,6.5,1826,25,2017,Renewed
Peaky Blinders,5,British TV Shows,2019,8.8,485506,58,2013,Renewed
Raising Dion,1,Kids' TV,2019,7.1,14464,43,2019,Cancelled
Rotten,2,Docuseries,2019,7.2,3675,56,2018,Renewed
Super Monsters,3,Kids' TV,2019,6.3,411,12,2017,Renewed
Seis Manos,1,Anime Series,2019,7.1,1573,26,2019,Cancelled
Living Undocumented,1,Docuseries,2019,6.7,577,42,2019,Cancelled
The K2,1,International TV Shows,2016,7.9,5615,65,2016,Cancelled
Gotham,5,Crime TV Shows,2019,7.8,226081,43,2014,Renewed
Bard of Blood,1,International TV Shows,2019,6.8,13210,45,2019,Cancelled
The Inmate,1,Crime TV Shows,2018,6.9,2641,53,2018,Cancelled
Abstract: The Art of Design,2,Docuseries,2019,8.4,5306,45,2017,Renewed
Glitch,3,International TV Shows,2019,7.3,17240,52,2015,Renewed
Vagabond,1,International TV Shows,2019,8.199999999999998,7544,61,2019,Cancelled
Criminal: Germany,1,British TV Shows,2019,7.7,5108,44,2019,Cancelled
Fastest Car,2,Reality TV,2019,7.1,1324,45,2018,Renewed
Inside Bill's Brain: Decoding Bill Gates,1,Docuseries,2019,7.9,10776,50,2019,Cancelled
When the Camellia Blooms,1,International TV Shows,2019,8,2371,55,2019,Cancelled
Marianne,1,International TV Shows,2019,7.4,14518,49,2019,Cancelled
Top Boy,1,British TV Shows,2019,8.4,22420,48,2011,Cancelled
Unbelievable,1,Crime TV Shows,2019,8.4,95658,48,2019,Cancelled
The I-Land,1,TV Action & Adventure,2019,4.6,16918,40,2019,Cancelled
"The Mind, Explained",1,Docuseries,2019,8,5230,21,2019,Cancelled
The Spy,1,International TV Shows,2019,7.9,40535,53,2019,Cancelled
Moving Art,3,Docuseries,2018,8.6,442,28,2014,Renewed
Naruto,9,Anime Series,2006,8.4,93980,23,2002,Renewed
Serial Killer with Piers Morgan,1,British TV Shows,2018,3.8,1394,47,2017,Cancelled
Luo Bao Bei,1,British TV Shows,2018,8,38,11,2018,Cancelled
Styling Hollywood,1,Reality TV,2019,6.6,355,37,2019,Cancelled
The Dark Crystal: Age of Resistance,1,TV Action & Adventure,2019,8.4,24164,51,2019,Cancelled
The Good Bandit,1,Crime TV Shows,2018,7.8,99,53,2019,Cancelled
True and the Rainbow Kingdom,3,Kids' TV,2019,7.1,439,21,2017,Renewed
Million Pound Menu,2,British TV Shows,2019,6.5,563,59,2018,Renewed
13 Reasons Why: Beyond the Reasons,3,Crime TV Shows,2019,6.2,322,42,2017,Renewed
Apache: The Life of Carlos Tevez,1,Crime TV Shows,2019,7.3,1582,45,2019,Cancelled
Better Than Us,1,Crime TV Shows,2019,7.3,8711,52,2018,Cancelled
The King's Avatar,1,International TV Shows,2019,8.199999999999998,1042,36,2019,Cancelled
Victim Number 8,1,International TV Shows,2018,7,1994,30,2018,Cancelled
Cannon Busters,1,Anime Series,2019,6.7,1172,24,2019,Cancelled
Sacred Games,2,Crime TV Shows,2019,8.6,85088,50,2018,Renewed
Happy Jail,1,Crime TV Shows,2019,6.9,247,34,2019,Cancelled
Knightfall,2,TV Dramas,2019,6.7,19809,44,2017,Renewed
DC Super Hero Girls,1,Kids' TV,2019,7.2,1193,10,2019,Cancelled
GLOW,3,TV Comedies,2019,8,44751,34,2017,Renewed
Sintonia,1,Crime TV Shows,2019,6.7,1067,44,2019,Cancelled
The Family,1,Docuseries,2019,6.4,3491,26,2019,Cancelled
Dollar,1,International TV Shows,2019,6.6,592,28,2019,Cancelled
Wu Assassins,1,TV Action & Adventure,2019,6.4,12799,44,2019,Cancelled
No Good Nick,2,Kids' TV,2019,6,2843,30,2019,Renewed
Basketball or Nothing,1,Docuseries,2019,7.4,614,0,2019,Cancelled
The Letdown,2,International TV Shows,2019,7.5,3253,30,2016,Renewed
Twelve Forever,1,Kids' TV,2019,6.6,664,22,2019,Cancelled
My First First Love,2,International TV Shows,2019,7.5,2163,52,2019,Renewed
Another Life,1,British TV Shows,2019,5.2,35108,42,2019,Cancelled
Beat Bugs,3,Kids' TV,2018,7.6,522,15,2016,Renewed
Comedians in Cars Getting Coffee,6,Stand-Up Comedy & Talk Shows,2019,8,12363,20,2012,Renewed
The Epic Tales of Captain Underpants,3,Kids' TV,2019,6.7,879,24,2018,Renewed
Typewriter,1,International TV Shows,2019,6.5,3788,50,2019,Cancelled
Rookie Historian Goo Hae-Ryung,1,International TV Shows,2019,8.199999999999998,1937,41,2019,Cancelled
Pinky Malinky,3,Kids' TV,2019,5.8,865,13,2019,Renewed
Unrequited Love,1,International TV Shows,2019,6.7,10,39,2017,Cancelled
Angel Beats!,1,Anime Series,2010,7.7,13848,26,2010,Cancelled
God Eater,1,Anime Series,2015,7,1911,23,2015,Cancelled
3Below: Tales of Arcadia,2,Kids' TV,2019,7.7,5927,22,2018,Renewed
Bonus Family,3,International TV Shows,2019,2.3,15,44,2017,Renewed
Extreme Engagement,1,International TV Shows,2019,5.6,382,40,2019,Cancelled
One Spring Night,1,International TV Shows,2019,7.9,2503,47,2019,Cancelled
True Tunes,1,Kids' TV,2019,8,14,3,2019,Cancelled
Free Rein,3,British TV Shows,2019,7,2062,28,2017,Renewed
The Legend of White Snake,1,International TV Shows,2019,7.4,224,46,2019,Cancelled
Kakegurui,2,International TV Shows,2019,7.2,8547,24,2017,Renewed
Kakegurui,2,International TV Shows,2019,6.8,966,30,2018,Renewed
Stranger Things,3,TV Horror,2019,8.699999999999998,989090,52,2016,Renewed
The Last Czars,1,Docuseries,2019,7.3,8096,45,2019,Cancelled
Yummy Mummies,2,International TV Shows,2019,4,673,41,2017,Renewed
Bangkok Love Stories: Plead,1,International TV Shows,2019,7.3,57,44,2019,Cancelled
Designated Survivor: 60 Days,1,International TV Shows,2019,8.1,1201,74,2019,Cancelled
Molang,1,Kids' TV,2015,8.4,346,3,2015,Cancelled
Rabbids Invasion,1,Kids' TV,2018,5.5,1802,10,2013,Cancelled
Record of Grancrest War,1,Anime Series,2018,7.1,893,24,2018,Cancelled
Scare Tactics,2,Reality TV,2011,6.7,2512,22,2003,Renewed
Dope,3,Crime TV Shows,2019,7.3,1643,48,2017,Renewed
Exhibit A,1,Crime TV Shows,2019,6.3,1030,36,2019,Cancelled
Instant Hotel,2,International TV Shows,2019,7.3,1482,49,2018,Renewed
Motown Magic,2,Kids' TV,2019,7.9,292,17,2018,Renewed
Paquita Salas,3,International TV Shows,2018,8,3087,26,2016,Renewed
Girls Incarcerated,2,Docuseries,2019,7.3,1073,45,2018,Renewed
Go! Live Your Way,2,Kids' TV,2019,6.7,606,40,2019,Renewed
Neon Genesis Evangelion,1,Anime Series,1995,8.5,64727,24,1995,Cancelled
Shooter,3,Crime TV Shows,2018,7.5,35547,41,2016,Renewed
The Casketeers,2,International TV Shows,2019,7.5,450,22,2018,Renewed
The Confession Tapes,2,Crime TV Shows,2019,7.5,5340,43,2017,Renewed
Fate/Zero,2,Anime Series,2012,8.199999999999998,12568,25,2011,Renewed
Puella Magi Madoka Magica,1,Anime Series,2011,8.3,9055,24,2011,Cancelled
Somewhere Only We Know,1,International TV Shows,2019,7.3,158,58,2019,Cancelled
Unit 42,1,Crime TV Shows,2017,7,2311,48,2017,Cancelled
Awake: The Million Dollar Game,1,Reality TV,2019,5.9,759,42,2019,Cancelled
Black Spot,2,Crime TV Shows,2019,7.4,10705,55,2017,Renewed
Girlfriends' Guide to Divorce,5,TV Comedies,2019,6.9,4523,42,2014,Renewed
Leila,1,British TV Shows,2019,4.7,8796,46,2019,Cancelled
Marlon,2,TV Comedies,2018,7,4056,21,2017,Renewed
Yankee,1,Crime TV Shows,2019,5.9,687,40,2019,Cancelled
Jinn,1,International TV Shows,2019,3.5,10043,32,2019,Cancelled
Designated Survivor,3,Crime TV Shows,2019,7.5,88019,44,2016,Renewed
Tales of the City,1,TV Dramas,2019,7.4,7715,56,2019,Cancelled
Black Mirror,5,British TV Shows,2019,8.8,515577,59,2011,Renewed
Documentary Now!,3,TV Comedies,2019,8.1,6445,22,2015,Renewed
Malibu Rescue: The Series,1,Kids' TV,2019,5.4,979,26,2019,Cancelled
Arthdal Chronicles,1,International TV Shows,2019,8.3,4200,80,2019,Cancelled
A Thousand Goodnights,1,International TV Shows,2019,8,93,84,2019,Cancelled
March Comes in Like a Lion,2,Anime Series,2017,8.4,2586,25,2016,Renewed
Bad Blood,2,Crime TV Shows,2019,7.5,9593,46,2017,Renewed
Killer Ratings,1,Crime TV Shows,2019,7.6,1671,50,2019,Cancelled
When They See Us,1,Crime TV Shows,2019,8.9,114127,74,2019,Cancelled
Historical Roasts,1,Stand-Up Comedy & Talk Shows,2019,5.3,1675,29,2019,Cancelled
She's Gotta Have It,2,Romantic TV Shows,2018,6.8,4624,32,2017,Renewed
WHAT / IF,1,TV Dramas,2019,6.3,15135,59,2019,Cancelled
Prince of Peoria,2,Kids' TV,2019,5.7,471,26,2018,Renewed
1994,1,Crime TV Shows,2019,7.5,514,178,2019,Cancelled
It's Bruno!,1,TV Comedies,2019,7.5,2886,3,2019,Cancelled
White Gold,2,British TV Shows,2019,7.4,10981,29,2017,Renewed
"Heidi, bienvenida a casa",1,Kids' TV,2017,6.2,20,46,2017,Cancelled
I Hear You,1,International TV Shows,2019,7.3,560,45,2019,Cancelled
The Defected,1,Crime TV Shows,2019,7.4,68,42,2019,Cancelled
Easy,3,TV Comedies,2019,6.9,13569,30,2016,Renewed
Jailbirds,1,Docuseries,2019,7,1160,44,2019,Cancelled
The Mechanism,2,Crime TV Shows,2019,8,36077,47,2018,Renewed
The Princess Weiyoung,1,International TV Shows,2016,7.9,767,45,2016,Cancelled
The Society,1,TV Dramas,2019,7,27693,56,2019,Cancelled
Abyss,1,Crime TV Shows,2019,7.1,2131,61,2019,Cancelled
In the Bosom of a Thorn,1,International TV Shows,2019,7.3,48,46,2019,Cancelled
The Writer,1,Crime TV Shows,2019,8.199999999999998,30,34,2019,Cancelled
Crime Diaries: Night Out,1,Crime TV Shows,2019,7.3,850,45,2019,Cancelled
Cupcake & Dino - General Services,2,Kids' TV,2019,7.5,663,16,2018,Renewed
Flinch,1,Reality TV,2019,4.4,703,24,2019,Cancelled
Tuca & Bertie,1,TV Comedies,2019,7.3,6724,24,2019,Cancelled
Code Geass: Lelouch of the Rebellion,2,Anime Series,2008,8.699999999999998,62367,24,2006,Renewed
Hong Kong West Side Stories,1,International TV Shows,2018,5.7,6,23,2019,Cancelled
Chambers,1,TV Horror,2019,6.4,8380,44,2019,Cancelled
Street Food,1,Docuseries,2019,7.9,2712,37,2019,Cancelled
Lunatics,1,International TV Shows,2019,6.6,3136,36,2019,Cancelled
Rilakkuma and Kaoru,1,Anime Series,2019,8.3,1579,12,2019,Cancelled
Samantha!,2,International TV Shows,2019,6.6,513,28,2018,Renewed
Crazy Ex-Girlfriend,4,Romantic TV Shows,2019,7.8,19738,42,2015,Renewed
Huge in France,1,TV Comedies,2019,6.8,2809,30,2019,Cancelled
New Girl,7,Romantic TV Shows,2018,7.7,216209,21,2011,Renewed
Persona,1,International TV Shows,2019,6.6,1164,22,2019,Cancelled
You vs. Wild,1,Kids' TV,2019,6.6,2570,20,2019,Cancelled
Time: The Kalief Browder Story,1,Docuseries,2017,8.5,2641,22,2017,Cancelled
Derek,3,British TV Shows,2015,8.1,31976,26,2013,Renewed
Imposters,2,Crime TV Shows,2017,7.8,13238,43,2017,Renewed
Our Planet,1,Docuseries,2019,9.3,41386,50,2019,Cancelled
Quicksand,1,Crime TV Shows,2019,7.5,21077,46,2019,Cancelled
Spirit: Riding Free,8,Kids' TV,2019,6.6,993,23,2017,Renewed
Tijuana,1,Crime TV Shows,2019,6.9,327,41,2019,Cancelled
"That Winter, the Wind Blows",1,International TV Shows,2013,7.6,1803,63,2013,Cancelled
Osmosis,1,International TV Shows,2019,5.8,3003,42,2019,Cancelled
Santa Clarita Diet,3,TV Comedies,2019,7.9,64467,29,2017,Renewed
Traitors,1,British TV Shows,2019,6.6,3020,50,2019,Cancelled
Versailles,3,International TV Shows,2018,7.9,16273,54,2015,Renewed
Ainori Love Wagon: Asian Journey,2,International TV Shows,2018,6.8,271,27,2017,Renewed
Charlie's Colorforms City,1,Kids' TV,2019,7,148,23,2019,Cancelled
Crime Diaries: The Candidate,1,Crime TV Shows,2019,7.5,803,37,2019,Cancelled
Delhi Crime,1,Crime TV Shows,2019,8.5,18732,27,2019,Cancelled
The OA,2,TV Dramas,2019,7.9,100911,55,2016,Renewed
Bo on the Go!,1,Kids' TV,2007,4.1,118,22,2007,Cancelled
Stay Tuned!,1,International TV Shows,2019,7.5,343,46,2019,Cancelled
My Husband Won't Fit,1,International TV Shows,2019,6.7,798,34,2019,Cancelled
Green Door,1,International TV Shows,2019,6.5,128,49,2019,Cancelled
If I Hadn't Met You,1,International TV Shows,2018,7.7,2283,52,2018,Cancelled
Robozuna,2,British TV Shows,2018,6.6,92,22,2018,Renewed
The Disappearance of Madeleine McCann,1,Crime TV Shows,2019,6.6,10286,59,2019,Cancelled
Turn Up Charlie,1,British TV Shows,2019,7.1,7251,26,2019,Cancelled
Into the Badlands,3,TV Action & Adventure,2018,7.9,45628,43,2015,Renewed
Immortals,1,International TV Shows,2018,5.4,3087,28,2018,Cancelled
Secret City,2,International TV Shows,2016,7.4,7831,50,2016,Renewed
A Korean Odyssey,1,International TV Shows,2017,8,4535,75,2017,Cancelled
Cricket Fever: Mumbai Indians,1,Docuseries,2019,7.2,699,38,2019,Cancelled
Larva Island,2,Kids' TV,2019,6.6,416,8,2018,Renewed
Losers,1,Docuseries,2019,7.6,1741,8,2019,Cancelled
Northern Rescue,1,TV Dramas,2019,7.1,4105,43,2019,Cancelled
The Disastrous Life of Saiki K.,3,Anime Series,2018,8.4,6649,10,2016,Renewed
Chef's Table,6,Docuseries,2019,8.5,15176,50,2015,Renewed
The Big Family Cooking Showdown,2,British TV Shows,2018,7,665,59,2017,Renewed
Larry Charles' Dangerous World of Comedy,1,Docuseries,2019,7.3,570,0,2019,Cancelled
The 43,1,Crime TV Shows,2019,7.1,140,56,2019,Cancelled
One Day at a Time,3,TV Comedies,2019,8.199999999999998,15669,29,2017,Renewed
Live,1,Crime TV Shows,2018,8.3,1208,46,2018,Cancelled
Safe,1,British TV Shows,2018,7.2,41822,45,2018,Cancelled
Violet Evergarden,1,Anime Series,2018,8.4,19940,25,2018,Cancelled
Russian Doll,1,TV Comedies,2019,7.8,88945,28,2019,Cancelled
Sparta,1,Crime TV Shows,2018,6.6,443,53,2018,Cancelled
Paprika,1,Kids' TV,2018,7.5,26,13,2018,Cancelled
A Taiwanese Tale of Two Cities,1,International TV Shows,2018,6.1,159,68,2018,Cancelled
Z Nation,5,TV Action & Adventure,2018,6.6,36059,43,2014,Renewed
Black Earth Rising,1,British TV Shows,2018,7.4,4790,59,2018,Cancelled
Examination of Conscience,1,Crime TV Shows,2019,7.8,422,51,2019,Cancelled
Conversations with a Killer: The Ted Bundy Tapes,1,Crime TV Shows,2019,7.8,27439,59,2019,Cancelled
Innocent,1,Crime TV Shows,2017,8.4,17727,51,2017,Cancelled
The World's Most Extraordinary Homes,3,British TV Shows,2019,7.6,3380,54,2017,Renewed
Trigger Warning with Killer Mike,1,Docuseries,2019,6.9,1249,26,2019,Cancelled
Back with the Ex,1,International TV Shows,2018,6.2,615,44,2019,Cancelled
Friends from College,2,Romantic TV Shows,2019,6.9,20242,30,2017,Renewed
Horrid Henry,2,British TV Shows,2019,6.3,912,12,2006,Renewed
Pocoyo,4,Kids' TV,2017,3.9,93,11,2005,Renewed
When Heroes Fly,1,International TV Shows,2018,7.1,3123,48,2018,Cancelled
A Series of Unfortunate Events,3,Kids' TV,2019,7.8,59239,47,2017,Renewed
COMEDIANS of the world,13,Stand-Up Comedy & Talk Shows,2019,6.5,450,30,2019,Renewed
The Paper,2,International TV Shows,2018,7.4,64,48,2016,Renewed
Tidying Up with Marie Kondo,1,Reality TV,2019,6.6,3529,34,2019,Cancelled
Murder Mountain,1,Crime TV Shows,2018,6.8,3045,49,2018,Cancelled
Selection Day,1,International TV Shows,2018,7.4,2176,25,2018,Cancelled
Watership Down,1,British TV Shows,2018,7.2,6043,50,2018,Cancelled
7 Days Out,1,Docuseries,2018,6.8,531,50,2018,Cancelled
Perfume,1,Crime TV Shows,2018,7.1,8536,29,2018,Cancelled
Sirius the Jaeger,1,Anime Series,2018,6.7,1883,23,2018,Cancelled
Wolf,1,International TV Shows,2018,8.1,7426,80,2018,Cancelled
Ashes of Love,1,International TV Shows,2018,8.5,1875,43,2018,Cancelled
Flowers,2,British TV Shows,2018,8.1,5468,25,2016,Renewed
Hymn of Death,1,International TV Shows,2018,7.6,1104,45,2018,Cancelled
The Fix,1,TV Comedies,2018,7,1895,29,2018,Cancelled
The Innocent Man,1,Crime TV Shows,2018,7.3,5883,47,2018,Cancelled
Tidelands,1,Crime TV Shows,2018,6.8,7727,42,2018,Cancelled
Travelers,3,Crime TV Shows,2018,8,54566,45,2016,Renewed
Voltron: Legendary Defender,8,Kids' TV,2018,8.1,8706,24,2016,Renewed
Dogs of Berlin,1,Crime TV Shows,2018,7.5,12453,60,2018,Cancelled
Neo Yokio,2,TV Comedies,2018,5.9,3359,23,2017,Renewed
Pine Gap,1,International TV Shows,2018,7.2,4772,56,2018,Cancelled
The Sound of Your Heart: Reboot,2,International TV Shows,2018,5.9,134,34,2018,Renewed
Memories of the Alhambra,1,Crime TV Shows,2018,7.8,5363,68,2018,Cancelled
1983,1,Crime TV Shows,2018,6.8,4173,57,2018,Cancelled
Death by Magic,1,Reality TV,2018,6.1,629,33,2018,Cancelled
Love and Fortune,1,International TV Shows,2018,7.3,547,69,2018,Cancelled
Spy Kids: Mission Critical,2,Kids' TV,2018,5.2,372,25,2018,Renewed
Bumping Mics with Jeff Ross & Dave Attell,1,Stand-Up Comedy & Talk Shows,2018,7.7,1145,34,2018,Cancelled
Minecraft: Story Mode,1,Kids' TV,2015,5.5,300,62,2011,Cancelled
Frontier,3,International TV Shows,2018,7.1,20706,46,2016,Renewed
Fugitiva,1,Crime TV Shows,2018,5.6,658,90,2018,Cancelled
Sick Note,2,British TV Shows,2018,6.8,7173,24,2017,Renewed
Kulipari: Dream Walker,1,Kids' TV,2018,7.7,91,19,2018,Cancelled
The Final Table,1,Reality TV,2018,7.6,3989,43,2018,Cancelled
Eternal Love,1,International TV Shows,2017,8.4,2214,45,2017,Cancelled
Ponysitters Club,2,Kids' TV,2018,6,116,23,2018,Renewed
Vai Anitta,1,Docuseries,2018,5.6,448,40,2018,Cancelled
Warrior,1,Crime TV Shows,2018,6.7,1966,42,2018,Cancelled
Age of Tanks,1,Docuseries,2017,7.3,852,54,2017,Cancelled
Medal of Honor,1,Docuseries,2018,8.199999999999998,1687,55,2018,Cancelled
Super Drags,1,International TV Shows,2018,5.4,1685,25,2018,Cancelled
The Queen of Flow,1,Crime TV Shows,2018,7.7,1202,45,2018,Cancelled
Treehouse Detectives,2,Kids' TV,2018,7.6,93,24,2018,Renewed
Westside,1,Reality TV,2018,6,168,47,2018,Cancelled
Damnation,1,Crime TV Shows,2017,7.6,8111,43,2017,Cancelled
Brainchild,1,Kids' TV,2018,8.1,415,25,2018,Cancelled
Follow This,3,Docuseries,2018,4.9,710,18,2018,Renewed
Terrorism Close Calls,1,Crime TV Shows,2018,5.1,688,51,2018,Cancelled
DreamWorks Spooky Stories,1,Kids' TV,2009,6.2,19,26,2009,Cancelled
Great News,2,TV Comedies,2017,7,6810,21,2017,Renewed
Here to Heart,1,International TV Shows,2018,7.5,219,45,2018,Cancelled
The Hollywood Masters,3,Stand-Up Comedy & Talk Shows,2017,7.2,86,34,2017,Renewed
Ask the Doctor,1,Docuseries,2017,6.5,289,28,2017,Cancelled
Best.Worst.Weekend.Ever.,1,Kids' TV,2018,6.4,297,25,2018,Cancelled
Making a Murderer,2,Crime TV Shows,2018,8.6,93456,62,2015,Renewed
Wanderlust,1,British TV Shows,2018,7,5225,57,2018,Cancelled
My Babysitter's a Vampire,2,Kids' TV,2012,6.9,4367,22,2011,Renewed
Edgar Rice Burroughs' Tarzan and Jane,2,Crime TV Shows,2018,4.8,270,21,2017,Renewed
FIGHTWORLD,1,Docuseries,2018,7.6,806,42,2018,Cancelled
The Curious Creations of Christine McConnell,1,TV Comedies,2018,7.7,2391,27,2018,Cancelled
The Haunting of Hill House,1,TV Dramas,2018,8.6,226817,58,2018,Cancelled
Salt Fat Acid Heat,1,Docuseries,2018,7.7,2419,40,2018,Cancelled
Blood Pact,1,Crime TV Shows,2018,6.7,140,60,2018,Cancelled
Sofia the First,4,Kids' TV,2017,6.8,2915,24,2013,Renewed
